=== METADATOS DE LA SESION ===
Fecha de Inicio:;2026-05-28
Hora de Inicio:;16:52:02
Fecha de Fin:;2026-05-28
Hora de Fin:;17:07:38
Duracion Total:;00:15:05
Ubicacion Seleccionada:;Sistema (España)
Pico Máximo Potencia CPU (W):;158,63
Pico Máximo Potencia GPU (W):;39,17
Pico Máximo Temperatura CPU (ºC):;82,0
Pico Máximo Temperatura GPU (ºC):;46,0
Pico Máximo Potencia Sistema (W):;194,33
Potencia Media CPU (W):;150,74
Potencia Media GPU (W):;13,58
Potencia Media Sistema (W):;164,32
Voltaje Medio CPU (V):;1,28
Voltaje Medio GPU (V):;0,66
Temperatura Media CPU (ºC):;78,1
Temperatura Media GPU (ºC):;45,5
Intensidad Carbono Media Grid (gCO2/kWh):;85,0
Energia Total CPU (Wh):;38,104133
Energia Total GPU (Wh):;3,432567
Energia Total Sistema (Wh):;41,536699
Emisiones Totales CPU (gCO2):;3,238851
Emisiones Totales GPU (gCO2):;0,291768
Emisiones Totales Sistema (gCO2):;3,530619

=== EVOLUCION TEMPORAL DETALLADA ===
Periodo;Fecha;Hora;PotenciaCPU(W);PotenciaGPU(W);PotenciaTotal(W);ConsumoPeriodoCPU(Wh);ConsumoPeriodoGPU(Wh);ConsumoPeriodoTotal(Wh);ConsumoAcumuladoCPU(Wh);ConsumoAcumuladoGPU(Wh);ConsumoAcumuladoTotal(Wh);TempCPU(C);TempGPU(C);VoltajeCPU(V);VoltajeGPU(V);Grid(gCO2/kWh);EmisionesPeriodoCPU(gCO2);EmisionesPeriodoGPU(gCO2);EmisionesPeriodoTotal(gCO2);EmisionesAcumuladasCPU(gCO2);EmisionesAcumuladasGPU(gCO2);EmisionesAcumuladasTotal(gCO2)
1;2026-05-28;16:52:02;49,11;34,93;84,04;0,068215;0,048514;0,116729;0,068215;0,048514;0,116729;55,0;45,0;1,37;0,93;85,0;0,005798;0,004124;0,009922;0,005798;0,004124;0,009922
2;2026-05-28;16:52:08;105,17;13,52;118,69;0,146073;0,018774;0,164847;0,214288;0,067288;0,281576;73,0;43,0;1,30;0,66;85,0;0,012416;0,001596;0,014012;0,018214;0,005719;0,023934
3;2026-05-28;16:52:13;150,95;13,95;164,90;0,209649;0,019372;0,229021;0,423937;0,086660;0,510597;75,0;43,0;1,30;0,66;85,0;0,017820;0,001647;0,019467;0,036035;0,007366;0,043401
4;2026-05-28;16:52:18;151,98;12,76;164,74;0,211077;0,017726;0,228804;0,635015;0,104386;0,739401;73,0;43,0;1,30;0,66;85,0;0,017942;0,001507;0,019448;0,053976;0,008873;0,062849
5;2026-05-28;16:52:23;151,93;12,92;164,85;0,211008;0,017944;0,228952;0,846022;0,122331;0,968353;74,0;43,0;1,31;0,66;85,0;0,017936;0,001525;0,019461;0,071912;0,010398;0,082310
6;2026-05-28;16:52:28;152,55;13,00;165,55;0,211874;0,018061;0,229935;1,057896;0,140392;1,198288;76,0;43,0;1,31;0,66;85,0;0,018009;0,001535;0,019544;0,089921;0,011933;0,101854
7;2026-05-28;16:52:34;152,32;13,38;165,69;0,211550;0,018576;0,230126;1,269446;0,158968;1,428414;76,0;43,0;1,31;0,66;85,0;0,017982;0,001579;0,019561;0,107903;0,013512;0,121415
8;2026-05-28;16:52:39;153,36;13,19;166,55;0,212997;0,018324;0,231321;1,482443;0,177292;1,659735;76,0;43,0;1,30;0,66;85,0;0,018105;0,001558;0,019662;0,126008;0,015070;0,141077
9;2026-05-28;16:52:44;153,14;13,19;166,33;0,212693;0,018314;0,231007;1,695136;0,195606;1,890742;77,0;43,0;1,31;0,66;85,0;0,018079;0,001557;0,019636;0,144087;0,016626;0,160713
10;2026-05-28;16:52:49;153,55;13,12;166,66;0,213260;0,018217;0,231477;1,908397;0,213822;2,122219;77,0;43,0;1,30;0,66;85,0;0,018127;0,001548;0,019676;0,162214;0,018175;0,180389
11;2026-05-28;16:52:54;153,50;13,10;166,60;0,213197;0,018199;0,231395;2,121593;0,232021;2,353614;76,0;44,0;1,30;0,66;85,0;0,018122;0,001547;0,019669;0,180335;0,019722;0,200057
12;2026-05-28;16:53:00;153,60;13,06;166,66;0,213328;0,018146;0,231474;2,334922;0,250167;2,585088;77,0;44,0;1,31;0,66;85,0;0,018133;0,001542;0,019675;0,198468;0,021264;0,219732
13;2026-05-28;16:53:05;154,11;13,17;167,28;0,214036;0,018294;0,232330;2,548957;0,268461;2,817418;77,0;44,0;1,32;0,66;85,0;0,018193;0,001555;0,019748;0,216661;0,022819;0,239481
14;2026-05-28;16:53:10;154,32;13,20;167,52;0,214331;0,018339;0,232670;2,763288;0,286800;3,050088;78,0;44,0;1,31;0,66;85,0;0,018218;0,001559;0,019777;0,234880;0,024378;0,259258
15;2026-05-28;16:53:15;154,34;13,12;167,47;0,214366;0,018225;0,232591;2,977654;0,305025;3,282679;78,0;44,0;1,30;0,66;85,0;0,018221;0,001549;0,019770;0,253101;0,025927;0,279028
16;2026-05-28;16:53:20;154,66;13,14;167,80;0,214804;0,018251;0,233055;3,192458;0,323276;3,515734;78,0;44,0;1,30;0,66;85,0;0,018258;0,001551;0,019810;0,271359;0,027478;0,298837
17;2026-05-28;16:53:25;154,39;13,23;167,62;0,214427;0,018381;0,232807;3,406885;0,341657;3,748542;79,0;44,0;1,30;0,66;85,0;0,018226;0,001562;0,019789;0,289585;0,029041;0,318626
18;2026-05-28;16:53:31;154,73;13,17;167,90;0,214903;0,018290;0,233193;3,621788;0,359947;3,981735;78,0;44,0;1,30;0,66;85,0;0,018267;0,001555;0,019821;0,307852;0,030596;0,338447
19;2026-05-28;16:53:36;155,11;13,31;168,42;0,215432;0,018489;0,233921;3,837220;0,378436;4,215656;78,0;44,0;1,31;0,66;85,0;0,018312;0,001572;0,019883;0,326164;0,032167;0,358331
20;2026-05-28;16:53:41;155,12;13,11;168,23;0,215447;0,018211;0,233658;4,052667;0,396647;4,449314;78,0;44,0;1,31;0,66;85,0;0,018313;0,001548;0,019861;0,344477;0,033715;0,378192
21;2026-05-28;16:53:46;155,19;13,18;168,37;0,215537;0,018310;0,233847;4,268204;0,414957;4,683161;79,0;44,0;1,30;0,66;85,0;0,018321;0,001556;0,019877;0,362797;0,035271;0,398069
22;2026-05-28;16:53:51;155,44;13,23;168,67;0,215893;0,018368;0,234261;4,484097;0,433325;4,917422;78,0;44,0;1,30;0,66;85,0;0,018351;0,001561;0,019912;0,381148;0,036833;0,417981
