=== METADATOS DE LA SESION ===
Fecha de Inicio:;2026-05-28
Hora de Inicio:;15:53:19
Fecha de Fin:;2026-05-28
Hora de Fin:;16:09:06
Duracion Total:;00:15:03
Ubicacion Seleccionada:;Sistema (España)
Pico Máximo Potencia CPU (W):;64,22
Pico Máximo Potencia GPU (W):;24,36
Pico Máximo Temperatura CPU (ºC):;65,0
Pico Máximo Temperatura GPU (ºC):;55,0
Pico Máximo Potencia Sistema (W):;78,72
Potencia Media CPU (W):;27,98
Potencia Media GPU (W):;13,98
Potencia Media Sistema (W):;41,96
Voltaje Medio CPU (V):;0,96
Voltaje Medio GPU (V):;0,66
Temperatura Media CPU (ºC):;46,0
Temperatura Media GPU (ºC):;53,3
Intensidad Carbono Media Grid (gCO2/kWh):;84,3
Energia Total CPU (Wh):;7,033937
Energia Total GPU (Wh):;3,515346
Energia Total Sistema (Wh):;10,549283
Emisiones Totales CPU (gCO2):;0,597885
Emisiones Totales GPU (gCO2):;0,298804
Emisiones Totales Sistema (gCO2):;0,896689

=== EVOLUCION TEMPORAL DETALLADA ===
Periodo;Fecha;Hora;PotenciaCPU(W);PotenciaGPU(W);PotenciaTotal(W);ConsumoPeriodoCPU(Wh);ConsumoPeriodoGPU(Wh);ConsumoPeriodoTotal(Wh);ConsumoAcumuladoCPU(Wh);ConsumoAcumuladoGPU(Wh);ConsumoAcumuladoTotal(Wh);TempCPU(C);TempGPU(C);VoltajeCPU(V);VoltajeGPU(V);Grid(gCO2/kWh);EmisionesPeriodoCPU(gCO2);EmisionesPeriodoGPU(gCO2);EmisionesPeriodoTotal(gCO2);EmisionesAcumuladasCPU(gCO2);EmisionesAcumuladasGPU(gCO2);EmisionesAcumuladasTotal(gCO2)
1;2026-05-28;15:53:20;28,73;24,36;53,09;0,039909;0,033832;0,073741;0,039909;0,033832;0,073741;52,0;55,0;1,34;0,92;84,0;0,003352;0,002842;0,006194;0,003352;0,002842;0,006194
2;2026-05-28;15:53:25;22,34;14,38;36,72;0,031023;0,019971;0,050994;0,070932;0,053803;0,124735;39,0;54,0;0,74;0,66;84,0;0,002606;0,001678;0,004283;0,005958;0,004519;0,010478
3;2026-05-28;15:53:30;13,20;14,11;27,31;0,018338;0,019594;0,037933;0,089271;0,073397;0,162668;40,0;54,0;0,66;0,66;84,0;0,001540;0,001646;0,003186;0,007499;0,006165;0,013664
4;2026-05-28;15:53:36;14,88;14,66;29,55;0,020673;0,020363;0,041035;0,109943;0,093760;0,203703;39,0;54,0;0,74;0,66;84,0;0,001737;0,001710;0,003447;0,009235;0,007876;0,017111
5;2026-05-28;15:53:41;12,26;14,12;26,39;0,017031;0,019618;0,036650;0,126975;0,113378;0,240353;38,0;54,0;0,66;0,66;84,0;0,001431;0,001648;0,003079;0,010666;0,009524;0,020190
6;2026-05-28;15:53:47;12,60;13,85;26,46;0,017504;0,019240;0,036744;0,144479;0,132618;0,277097;38,0;54,0;0,66;0,66;84,0;0,001470;0,001616;0,003087;0,012136;0,011140;0,023276
7;2026-05-28;15:53:52;11,73;14,00;25,74;0,016295;0,019450;0,035745;0,160773;0,152068;0,312842;38,0;54,0;0,66;0,66;84,0;0,001369;0,001634;0,003003;0,013505;0,012774;0,026279
8;2026-05-28;15:53:57;12,09;14,07;26,16;0,016794;0,019540;0,036334;0,177567;0,171608;0,349176;38,0;54,0;0,66;0,66;84,0;0,001411;0,001641;0,003052;0,014916;0,014415;0,029331
9;2026-05-28;15:54:02;11,92;13,97;25,89;0,016554;0,019397;0,035952;0,194122;0,191006;0,385127;38,0;54,0;1,40;0,66;84,0;0,001391;0,001629;0,003020;0,016306;0,016044;0,032351
10;2026-05-28;15:54:08;12,28;14,07;26,35;0,017057;0,019546;0,036603;0,211178;0,210551;0,421730;37,0;54,0;0,66;0,66;84,0;0,001433;0,001642;0,003075;0,017739;0,017686;0,035425
