=== METADATOS DE LA SESION ===
Fecha de Inicio:;2026-06-01
Hora de Inicio:;17:58:32
Fecha de Fin:;2026-06-01
Hora de Fin:;18:13:29
Duracion Total:;00:14:35
Ubicacion Seleccionada:;Sistema (España)
Pico Máximo Potencia CPU (W):;144,85
Pico Máximo Potencia GPU (W):;149,42
Pico Máximo Temperatura CPU (ºC):;98,0
Pico Máximo Temperatura GPU (ºC):;69,0
Pico Máximo Potencia Sistema (W):;184,55
Potencia Media CPU (W):;33,95
Potencia Media GPU (W):;70,33
Potencia Media Sistema (W):;104,29
Voltaje Medio CPU (V):;1,27
Voltaje Medio GPU (V):;0,76
Temperatura Media CPU (ºC):;56,6
Temperatura Media GPU (ºC):;56,3
Intensidad Carbono Media Grid (gCO2/kWh):;89,3
Energia Total CPU (Wh):;8,299144
Energia Total GPU (Wh):;17,192794
Energia Total Sistema (Wh):;25,491938
Emisiones Totales CPU (gCO2):;0,755222
Emisiones Totales GPU (gCO2):;1,564544
Emisiones Totales Sistema (gCO2):;2,319766

=== EVOLUCION TEMPORAL DETALLADA ===
Periodo;Fecha;Hora;PotenciaCPU(W);PotenciaGPU(W);PotenciaTotal(W);ConsumoPeriodoCPU(Wh);ConsumoPeriodoGPU(Wh);ConsumoPeriodoTotal(Wh);ConsumoAcumuladoCPU(Wh);ConsumoAcumuladoGPU(Wh);ConsumoAcumuladoTotal(Wh);TempCPU(C);TempGPU(C);VoltajeCPU(V);VoltajeGPU(V);Grid(gCO2/kWh);EmisionesPeriodoCPU(gCO2);EmisionesPeriodoGPU(gCO2);EmisionesPeriodoTotal(gCO2);EmisionesAcumuladasCPU(gCO2);EmisionesAcumuladasGPU(gCO2);EmisionesAcumuladasTotal(gCO2)
1;2026-06-01;17:58:34;133,58;42,72;176,30;0,185532;0,059332;0,244864;0,185532;0,059332;0,244864;98,0;39,0;1,39;0,78;86,0;0,015956;0,005103;0,021058;0,015956;0,005103;0,021058
2;2026-06-01;17:58:40;133,51;49,95;183,46;0,185430;0,069375;0,254805;0,370962;0,128707;0,499669;93,0;40,0;1,37;0,66;86,0;0,015947;0,005966;0,021913;0,031903;0,011069;0,042972
3;2026-06-01;17:58:45;133,76;50,54;184,30;0,185780;0,070197;0,255977;0,556742;0,198904;0,755646;97,0;40,0;1,25;0,66;86,0;0,015977;0,006037;0,022014;0,047880;0,017106;0,064986
4;2026-06-01;17:58:50;133,19;50,23;183,42;0,184986;0,069763;0,254748;0,741727;0,268667;1,010394;98,0;40,0;1,24;0,66;86,0;0,015909;0,006000;0,021908;0,063789;0,023105;0,086894
5;2026-06-01;17:58:55;101,62;37,14;138,76;0,141135;0,051586;0,192721;0,882863;0,320253;1,203116;60,0;40,0;1,34;0,66;86,0;0,012138;0,004436;0,016574;0,075926;0,027542;0,103468
6;2026-06-01;17:59:00;23,77;53,54;77,31;0,033009;0,074365;0,107375;0,915872;0,394618;1,310490;50,0;41,0;1,21;0,68;86,0;0,002839;0,006395;0,009234;0,078765;0,033937;0,112702
7;2026-06-01;17:59:05;21,52;53,75;75,27;0,029885;0,074650;0,104535;0,945758;0,469268;1,415026;49,0;41,0;1,31;0,69;86,0;0,002570;0,006420;0,008990;0,081335;0,040357;0,121692
8;2026-06-01;17:59:10;20,23;60,87;81,10;0,028092;0,084547;0,112640;0,973850;0,553815;1,527665;52,0;42,0;1,26;0,73;86,0;0,002416;0,007271;0,009687;0,083751;0,047628;0,131379
9;2026-06-01;17:59:16;23,64;59,93;83,57;0,032834;0,083242;0,116076;1,006684;0,637057;1,643741;51,0;42,0;1,36;0,73;86,0;0,002824;0,007159;0,009983;0,086575;0,054787;0,141362
10;2026-06-01;17:59:21;25,55;57,94;83,49;0,035492;0,080471;0,115963;1,042176;0,717528;1,759703;49,0;43,0;1,20;0,71;86,0;0,003052;0,006920;0,009973;0,089627;0,061707;0,151334
11;2026-06-01;17:59:26;25,87;58,62;84,50;0,035934;0,081424;0,117357;1,078109;0,798951;1,877061;53,0;43,0;1,27;0,71;86,0;0,003090;0,007002;0,010093;0,092717;0,068710;0,161427
12;2026-06-01;17:59:31;26,04;76,43;102,46;0,036164;0,106149;0,142312;1,114273;0,905100;2,019373;51,0;44,0;1,30;0,84;86,0;0,003110;0,009129;0,012239;0,095828;0,077839;0,173666
13;2026-06-01;17:59:36;23,35;63,78;87,13;0,032426;0,088585;0,121010;1,146699;0,993685;2,140384;50,0;44,0;1,21;0,75;86,0;0,002789;0,007618;0,010407;0,098616;0,085457;0,184073
14;2026-06-01;17:59:41;24,60;67,85;92,45;0,034172;0,094235;0,128407;1,180871;1,087919;2,268791;52,0;45,0;1,26;0,77;86,0;0,002939;0,008104;0,011043;0,101555;0,093561;0,195116
15;2026-06-01;17:59:46;23,42;59,01;82,42;0,032521;0,081956;0,114477;1,213392;1,169875;2,383267;48,0;45,0;1,19;0,71;86,0;0,002797;0,007048;0,009845;0,104352;0,100609;0,204961
16;2026-06-01;17:59:51;22,99;60,70;83,69;0,031926;0,084304;0,116230;1,245318;1,254179;2,499497;51,0;45,0;1,20;0,73;86,0;0,002746;0,007250;0,009996;0,107097;0,107859;0,214957
17;2026-06-01;17:59:56;21,42;62,21;83,63;0,029754;0,086399;0,116153;1,275072;1,340578;2,615650;48,0;46,0;1,31;0,71;86,0;0,002559;0,007430;0,009989;0,109656;0,115290;0,224946
