=== METADATOS DE LA SESION ===
Fecha de Inicio:;2026-06-01
Hora de Inicio:;17:38:09
Fecha de Fin:;2026-06-01
Hora de Fin:;17:54:16
Duracion Total:;00:15:36
Ubicacion Seleccionada:;Sistema (España)
Pico Máximo Potencia CPU (W):;64,94
Pico Máximo Potencia GPU (W):;43,34
Pico Máximo Temperatura CPU (ºC):;76,0
Pico Máximo Temperatura GPU (ºC):;38,0
Pico Máximo Potencia Sistema (W):;108,28
Potencia Media CPU (W):;26,54
Potencia Media GPU (W):;17,86
Potencia Media Sistema (W):;44,40
Voltaje Medio CPU (V):;1,25
Voltaje Medio GPU (V):;0,65
Temperatura Media CPU (ºC):;52,7
Temperatura Media GPU (ºC):;34,7
Intensidad Carbono Media Grid (gCO2/kWh):;86,0
Energia Total CPU (Wh):;6,930592
Energia Total GPU (Wh):;4,662518
Energia Total Sistema (Wh):;11,593110
Emisiones Totales CPU (gCO2):;0,596031
Emisiones Totales GPU (gCO2):;0,400977
Emisiones Totales Sistema (gCO2):;0,997007

=== EVOLUCION TEMPORAL DETALLADA ===
Periodo;Fecha;Hora;PotenciaCPU(W);PotenciaGPU(W);PotenciaTotal(W);ConsumoPeriodoCPU(Wh);ConsumoPeriodoGPU(Wh);ConsumoPeriodoTotal(Wh);ConsumoAcumuladoCPU(Wh);ConsumoAcumuladoGPU(Wh);ConsumoAcumuladoTotal(Wh);TempCPU(C);TempGPU(C);VoltajeCPU(V);VoltajeGPU(V);Grid(gCO2/kWh);EmisionesPeriodoCPU(gCO2);EmisionesPeriodoGPU(gCO2);EmisionesPeriodoTotal(gCO2);EmisionesAcumuladasCPU(gCO2);EmisionesAcumuladasGPU(gCO2);EmisionesAcumuladasTotal(gCO2)
1;2026-06-01;17:38:10;64,94;43,34;108,28;0,090191;0,060197;0,150388;0,090191;0,060197;0,150388;76,0;38,0;1,38;0,78;86,0;0,007756;0,005177;0,012933;0,007756;0,005177;0,012933
2;2026-06-01;17:38:16;58,50;17,36;75,86;0,081255;0,024111;0,105366;0,171446;0,084308;0,255754;66,0;36,0;1,23;0,65;86,0;0,006988;0,002074;0,009061;0,014744;0,007251;0,021995
3;2026-06-01;17:38:21;53,31;18,35;71,66;0,074036;0,025492;0,099527;0,245481;0,109800;0,355281;67,0;36,0;1,37;0,65;86,0;0,006367;0,002192;0,008559;0,021111;0,009443;0,030554
4;2026-06-01;17:38:26;49,83;17,61;67,44;0,069203;0,024464;0,093667;0,314684;0,134264;0,448948;72,0;36,0;1,28;0,65;86,0;0,005951;0,002104;0,008055;0,027063;0,011547;0,038610
5;2026-06-01;17:38:31;50,20;19,52;69,72;0,069719;0,027110;0,096829;0,384403;0,161374;0,545777;68,0;36,0;1,23;0,65;86,0;0,005996;0,002331;0,008327;0,033059;0,013878;0,046937
6;2026-06-01;17:38:36;45,52;16,78;62,30;0,063227;0,023301;0,086528;0,447631;0,184675;0,632306;64,0;36,0;1,24;0,65;86,0;0,005438;0,002004;0,007441;0,038496;0,015882;0,054378
7;2026-06-01;17:38:42;36,15;18,93;55,09;0,050213;0,026299;0,076512;0,497844;0,210974;0,708817;60,0;36,0;1,35;0,65;86,0;0,004318;0,002262;0,006580;0,042815;0,018144;0,060958
8;2026-06-01;17:38:47;27,70;17,52;45,22;0,038478;0,024331;0,062809;0,536322;0,235304;0,771626;51,0;36,0;1,22;0,65;86,0;0,003309;0,002092;0,005402;0,046124;0,020236;0,066360
9;2026-06-01;17:38:52;30,04;18,67;48,71;0,041722;0,025925;0,067647;0,578043;0,261229;0,839273;50,0;36,0;1,24;0,65;86,0;0,003588;0,002230;0,005818;0,049712;0,022466;0,072177
10;2026-06-01;17:38:57;35,04;17,51;52,55;0,048671;0,024318;0,072989;0,626714;0,285547;0,912262;54,0;36,0;1,22;0,65;86,0;0,004186;0,002091;0,006277;0,053897;0,024557;0,078454
11;2026-06-01;17:39:02;28,85;18,26;47,11;0,040074;0,025356;0,065429;0,666788;0,310903;0,977691;50,0;36,0;1,31;0,65;86,0;0,003446;0,002181;0,005627;0,057344;0,026738;0,084081
12;2026-06-01;17:39:08;26,86;17,49;44,36;0,037310;0,024296;0,061606;0,704098;0,335199;1,039297;51,0;36,0;1,22;0,65;86,0;0,003209;0,002089;0,005298;0,060552;0,028827;0,089380
13;2026-06-01;17:39:13;34,50;19,59;54,09;0,047923;0,027207;0,075130;0,752021;0,362406;1,114427;60,0;36,0;1,31;0,65;86,0;0,004121;0,002340;0,006461;0,064674;0,031167;0,095841
14;2026-06-01;17:39:18;27,07;17,80;44,87;0,037593;0,024728;0,062321;0,789614;0,387133;1,176747;51,0;36,0;1,32;0,65;86,0;0,003233;0,002127;0,005360;0,067907;0,033293;0,101200
15;2026-06-01;17:39:23;29,48;19,04;48,52;0,040940;0,026447;0,067387;0,830554;0,413581;1,244134;54,0;36,0;1,19;0,65;86,0;0,003521;0,002274;0,005795;0,071428;0,035568;0,106996
16;2026-06-01;17:39:28;25,64;17,44;43,08;0,035605;0,024224;0,059828;0,866158;0,437804;1,303962;51,0;36,0;1,24;0,65;86,0;0,003062;0,002083;0,005145;0,074490;0,037651;0,112141
17;2026-06-01;17:39:33;26,58;18,14;44,72;0,036915;0,025190;0,062106;0,903074;0,462994;1,366068;51,0;36,0;1,20;0,65;86,0;0,003175;0,002166;0,005341;0,077664;0,039818;0,117482
18;2026-06-01;17:39:38;25,27;17,37;42,64;0,035095;0,024131;0,059225;0,938168;0,487125;1,425293;51,0;35,0;1,24;0,65;86,0;0,003018;0,002075;0,005093;0,080682;0,041893;0,122575
19;2026-06-01;17:39:44;27,30;16,75;44,04;0,037911;0,023260;0,061170;0,976079;0,510385;1,486464;62,0;35,0;1,33;0,65;86,0;0,003260;0,002000;0,005261;0,083943;0,043893;0,127836
20;2026-06-01;17:39:49;26,44;17,72;44,16;0,036728;0,024610;0,061338;1,012807;0,534994;1,547801;51,0;36,0;1,21;0,65;86,0;0,003159;0,002116;0,005275;0,087101;0,046010;0,133111
21;2026-06-01;17:39:54;27,19;17,78;44,97;0,037763;0,024701;0,062464;1,050570;0,559696;1,610265;53,0;35,0;1,20;0,65;86,0;0,003248;0,002124;0,005372;0,090349;0,048134;0,138483
22;2026-06-01;17:39:59;24,79;17,41;42,20;0,034428;0,024179;0,058607;1,084998;0,583875;1,668873;53,0;35,0;1,19;0,65;86,0;0,002961;0,002079;0,005040;0,093310;0,050213;0,143523
23;2026-06-01;17:40:04;34,04;17,43;51,48;0,047284;0,024213;0,071497;1,132282;0,608088;1,740369;52,0;35,0;1,25;0,65;86,0;0,004066;0,002082;0,006149;0,097376;0,052296;0,149672
24;2026-06-01;17:40:09;25,21;19,21;44,42;0,035015;0,026681;0,061695;1,167296;0,634768;1,802065;49,0;36,0;1,46;0,65;86,0;0,003011;0,002295;0,005306;0,100387;0,054590;0,154978
25;2026-06-01;17:40:15;25,51;19,31;44,82;0,035429;0,026818;0,062247;1,202726;0,661586;1,864312;50,0;36,0;1,23;0,65;86,0;0,003047;0,002306;0,005353;0,103434;0,056896;0,160331
26;2026-06-01;17:40:20;25,52;18,83;44,35;0,035443;0,026149;0,061591;1,238168;0,687735;1,925903;53,0;36,0;1,26;0,65;86,0;0,003048;0,002249;0,005297;0,106482;0,059145;0,165628
27;2026-06-01;17:40:25;25,31;19,18;44,49;0,035148;0,026643;0,061791;1,273316;0,714378;1,987694;50,0;36,0;1,20;0,65;86,0;0,003023;0,002291;0,005314;0,109505;0,061436;0,170942
28;2026-06-01;17:40:30;27,37;17,92;45,29;0,038017;0,024888;0,062904;1,311333;0,739265;2,050598;53,0;35,0;1,30;0,65;86,0;0,003269;0,002140;0,005410;0,112775;0,063577;0,176351
29;2026-06-01;17:40:35;26,37;17,63;44,00;0,036624;0,024492;0,061116;1,347957;0,763757;2,111714;52,0;35,0;1,23;0,65;86,0;0,003150;0,002106;0,005256;0,115924;0,065683;0,181607
30;2026-06-01;17:40:40;25,23;19,36;44,59;0,035035;0,026893;0,061928;1,382992;0,790650;2,173642;51,0;35,0;1,20;0,65;86,0;0,003013;0,002313;0,005326;0,118937;0,067996;0,186933
31;2026-06-01;17:40:45;33,71;19,41;53,11;0,046817;0,026951;0,073769;1,429809;0,817601;2,247410;54,0;36,0;1,27;0,65;86,0;0,004026;0,002318;0,006344;0,122964;0,070314;0,193277
32;2026-06-01;17:40:51;35,19;19,32;54,51;0,048869;0,026836;0,075705;1,478678;0,844438;2,323116;54,0;36,0;1,20;0,65;86,0;0,004203;0,002308;0,006511;0,127166;0,072622;0,199788
33;2026-06-01;17:40:56;37,57;17,75;55,33;0,052183;0,024658;0,076842;1,530862;0,869096;2,399957;55,0;35,0;1,31;0,65;86,0;0,004488;0,002121;0,006608;0,131654;0,074742;0,206396
34;2026-06-01;17:41:01;31,71;18,87;50,59;0,044047;0,026214;0,070261;1,574909;0,895310;2,470219;52,0;35,0;1,34;0,65;86,0;0,003788;0,002254;0,006042;0,135442;0,076997;0,212439
35;2026-06-01;17:41:06;25,30;17,17;42,47;0,035146;0,023847;0,058993;1,610055;0,919157;2,529212;49,0;35,0;1,25;0,65;86,0;0,003023;0,002051;0,005073;0,138465;0,079047;0,217512
36;2026-06-01;17:41:11;24,57;18,89;43,46;0,034126;0,026239;0,060365;1,644180;0,945396;2,589576;51,0;35,0;1,20;0,65;86,0;0,002935;0,002257;0,005191;0,141400;0,081304;0,222704
37;2026-06-01;17:41:17;25,22;16,17;41,39;0,035031;0,022458;0,057489;1,679211;0,967854;2,647065;60,0;35,0;1,19;0,65;86,0;0,003013;0,001931;0,004944;0,144412;0,083235;0,227648
38;2026-06-01;17:41:22;25,50;18,47;43,97;0,035413;0,025656;0,061068;1,714624;0,993510;2,708134;56,0;35,0;1,26;0,65;86,0;0,003046;0,002206;0,005252;0,147458;0,085442;0,232900
39;2026-06-01;17:41:27;23,72;16,65;40,37;0,032948;0,023128;0,056076;1,747572;1,016638;2,764210;53,0;35,0;1,22;0,65;86,0;0,002834;0,001989;0,004823;0,150291;0,087431;0,237722
40;2026-06-01;17:41:32;24,96;19,19;44,15;0,034671;0,026653;0,061324;1,782243;1,043290;2,825534;50,0;35,0;1,27;0,65;86,0;0,002982;0,002292;0,005274;0,153273;0,089723;0,242996
41;2026-06-01;17:41:37;24,64;17,33;41,97;0,034218;0,024074;0,058292;1,816462;1,067364;2,883826;51,0;35,0;1,22;0,65;86,0;0,002943;0,002070;0,005013;0,156216;0,091793;0,248009
