=== METADATOS DE LA SESION ===
Fecha de Inicio:;2026-05-28
Hora de Inicio:;16:50:09
Fecha de Fin:;2026-05-28
Hora de Fin:;17:06:16
Duracion Total:;00:15:10
Ubicacion Seleccionada:;Sistema (España)
Pico Máximo Potencia CPU (W):;11,11
Pico Máximo Potencia GPU (W):;6,89
Pico Máximo Temperatura CPU (ºC):;49,0
Pico Máximo Temperatura GPU (ºC):;45,0
Pico Máximo Potencia Sistema (W):;15,01
Potencia Media CPU (W):;7,13
Potencia Media GPU (W):;3,15
Potencia Media Sistema (W):;10,28
Voltaje Medio CPU (V):;0,67
Voltaje Medio GPU (V):;0,63
Temperatura Media CPU (ºC):;46,5
Temperatura Media GPU (ºC):;44,5
Intensidad Carbono Media Grid (gCO2/kWh):;85,0
Energia Total CPU (Wh):;1,812583
Energia Total GPU (Wh):;0,799893
Energia Total Sistema (Wh):;2,612476
Emisiones Totales CPU (gCO2):;0,154070
Emisiones Totales GPU (gCO2):;0,067991
Emisiones Totales Sistema (gCO2):;0,222060

=== EVOLUCION TEMPORAL DETALLADA ===
Periodo;Fecha;Hora;PotenciaCPU(W);PotenciaGPU(W);PotenciaTotal(W);ConsumoPeriodoCPU(Wh);ConsumoPeriodoGPU(Wh);ConsumoPeriodoTotal(Wh);ConsumoAcumuladoCPU(Wh);ConsumoAcumuladoGPU(Wh);ConsumoAcumuladoTotal(Wh);TempCPU(C);TempGPU(C);VoltajeCPU(V);VoltajeGPU(V);Grid(gCO2/kWh);EmisionesPeriodoCPU(gCO2);EmisionesPeriodoGPU(gCO2);EmisionesPeriodoTotal(gCO2);EmisionesAcumuladasCPU(gCO2);EmisionesAcumuladasGPU(gCO2);EmisionesAcumuladasTotal(gCO2)
1;2026-05-28;16:50:09;9,41;3,22;12,63;0,013076;0,004472;0,017548;0,013076;0,004472;0,017548;47,0;45,0;0,68;0,63;85,0;0,001111;0,000380;0,001492;0,001111;0,000380;0,001492
2;2026-05-28;16:50:14;7,56;3,22;10,78;0,010500;0,004467;0,014967;0,023576;0,008939;0,032515;47,0;45,0;0,72;0,63;85,0;0,000893;0,000380;0,001272;0,002004;0,000760;0,002764
3;2026-05-28;16:50:19;7,40;3,32;10,72;0,010283;0,004610;0,014893;0,033859;0,013549;0,047407;47,0;45,0;0,64;0,63;85,0;0,000874;0,000392;0,001266;0,002878;0,001152;0,004030
4;2026-05-28;16:50:25;7,19;3,21;10,40;0,009979;0,004465;0,014445;0,043838;0,018014;0,061852;47,0;45,0;0,64;0,63;85,0;0,000848;0,000380;0,001228;0,003726;0,001531;0,005257
5;2026-05-28;16:50:30;7,12;3,21;10,33;0,009886;0,004456;0,014341;0,053724;0,022469;0,076194;47,0;45,0;0,66;0,63;85,0;0,000840;0,000379;0,001219;0,004567;0,001910;0,006476
6;2026-05-28;16:50:35;7,02;3,19;10,21;0,009753;0,004432;0,014185;0,063477;0,026901;0,090378;47,0;45,0;0,64;0,63;85,0;0,000829;0,000377;0,001206;0,005396;0,002287;0,007682
7;2026-05-28;16:50:40;6,84;3,20;10,05;0,009504;0,004450;0,013954;0,072981;0,031351;0,104332;47,0;45,0;0,66;0,63;85,0;0,000808;0,000378;0,001186;0,006203;0,002665;0,008868
8;2026-05-28;16:50:46;7,20;3,20;10,39;0,009997;0,004439;0,014435;0,082977;0,035790;0,118768;47,0;45,0;0,72;0,63;85,0;0,000850;0,000377;0,001227;0,007053;0,003042;0,010095
9;2026-05-28;16:50:51;7,24;3,17;10,41;0,010062;0,004400;0,014462;0,093039;0,040190;0,133229;47,0;45,0;0,68;0,63;85,0;0,000855;0,000374;0,001229;0,007908;0,003416;0,011324
10;2026-05-28;16:50:56;7,03;3,15;10,18;0,009767;0,004376;0,014143;0,102806;0,044567;0,147373;47,0;45,0;0,75;0,63;85,0;0,000830;0,000372;0,001202;0,008739;0,003788;0,012527
11;2026-05-28;16:51:02;6,99;3,12;10,10;0,009708;0,004326;0,014034;0,112514;0,048893;0,161407;47,0;45,0;0,66;0,63;85,0;0,000825;0,000368;0,001193;0,009564;0,004156;0,013720
12;2026-05-28;16:51:07;7,44;3,18;10,62;0,010339;0,004414;0,014753;0,122853;0,053307;0,176160;47,0;45,0;0,65;0,63;85,0;0,000879;0,000375;0,001254;0,010443;0,004531;0,014974
13;2026-05-28;16:51:12;7,02;3,23;10,24;0,009746;0,004481;0,014227;0,132600;0,057788;0,190387;47,0;45,0;0,70;0,63;85,0;0,000828;0,000381;0,001209;0,011271;0,004912;0,016183
14;2026-05-28;16:51:17;9,36;3,15;12,51;0,013000;0,004381;0,017381;0,145600;0,062168;0,207768;47,0;45,0;0,77;0,63;85,0;0,001105;0,000372;0,001477;0,012376;0,005284;0,017660
15;2026-05-28;16:51:23;7,25;3,12;10,37;0,010075;0,004329;0,014404;0,155675;0,066497;0,222172;47,0;45,0;0,70;0,63;85,0;0,000856;0,000368;0,001224;0,013232;0,005652;0,018885
16;2026-05-28;16:51:28;7,08;3,17;10,25;0,009835;0,004404;0,014239;0,165509;0,070901;0,236411;47,0;45,0;0,64;0,63;85,0;0,000836;0,000374;0,001210;0,014068;0,006027;0,020095
17;2026-05-28;16:51:33;7,00;3,17;10,17;0,009717;0,004404;0,014121;0,175226;0,075306;0,250531;47,0;45,0;0,80;0,63;85,0;0,000826;0,000374;0,001200;0,014894;0,006401;0,021295
18;2026-05-28;16:51:39;7,27;3,19;10,46;0,010091;0,004433;0,014525;0,185317;0,079739;0,265056;47,0;45,0;0,66;0,63;85,0;0,000858;0,000377;0,001235;0,015752;0,006778;0,022530
19;2026-05-28;16:51:44;7,07;3,19;10,26;0,009816;0,004431;0,014246;0,195133;0,084169;0,279302;47,0;45,0;0,70;0,63;85,0;0,000834;0,000377;0,001211;0,016586;0,007154;0,023741
20;2026-05-28;16:51:49;7,03;3,19;10,21;0,009758;0,004426;0,014185;0,204891;0,088596;0,293487;47,0;45,0;0,75;0,63;85,0;0,000829;0,000376;0,001206;0,017416;0,007531;0,024946
21;2026-05-28;16:51:54;6,80;3,16;9,96;0,009451;0,004383;0,013834;0,214342;0,092979;0,307321;46,0;45,0;0,66;0,63;85,0;0,000803;0,000373;0,001176;0,018219;0,007903;0,026122
22;2026-05-28;16:52:00;7,39;3,16;10,55;0,010260;0,004390;0,014650;0,224602;0,097369;0,321971;47,0;45,0;0,65;0,63;85,0;0,000872;0,000373;0,001245;0,019091;0,008276;0,027368
23;2026-05-28;16:52:05;7,15;3,19;10,34;0,009924;0,004435;0,014358;0,234526;0,101804;0,336330;47,0;45,0;0,66;0,63;85,0;0,000844;0,000377;0,001220;0,019935;0,008653;0,028588
24;2026-05-28;16:52:10;7,16;3,18;10,34;0,009939;0,004419;0,014359;0,244465;0,106224;0,350689;46,0;45,0;0,67;0,63;85,0;0,000845;0,000376;0,001221;0,020780;0,009029;0,029809
25;2026-05-28;16:52:15;6,88;3,14;10,02;0,009561;0,004361;0,013922;0,254026;0,110585;0,364611;47,0;45,0;0,65;0,63;85,0;0,000813;0,000371;0,001183;0,021592;0,009400;0,030992
26;2026-05-28;16:52:20;7,09;3,17;10,26;0,009846;0,004397;0,014243;0,263872;0,114982;0,378854;47,0;45,0;0,67;0,63;85,0;0,000837;0,000374;0,001211;0,022429;0,009773;0,032203
27;2026-05-28;16:52:26;6,97;3,20;10,17;0,009674;0,004444;0,014118;0,273546;0,119426;0,392972;46,0;45,0;0,65;0,63;85,0;0,000822;0,000378;0,001200;0,023251;0,010151;0,033403
28;2026-05-28;16:52:31;6,94;3,18;10,12;0,009635;0,004422;0,014057;0,283180;0,123849;0,407029;46,0;45,0;0,65;0,63;85,0;0,000819;0,000376;0,001195;0,024070;0,010527;0,034597
