=== METADATOS DE LA SESION ===
Fecha de Inicio:;2026-06-01
Hora de Inicio:;17:56:14
Fecha de Fin:;2026-06-01
Hora de Fin:;18:12:06
Duracion Total:;00:15:08
Ubicacion Seleccionada:;Sistema (España)
Pico Máximo Potencia CPU (W):;14,97
Pico Máximo Potencia GPU (W):;0,00
Pico Máximo Temperatura CPU (ºC):;98,0
Pico Máximo Temperatura GPU (ºC):;0,0
Pico Máximo Potencia Sistema (W):;14,97
Potencia Media CPU (W):;12,76
Potencia Media GPU (W):;0,00
Potencia Media Sistema (W):;12,76
Voltaje Medio CPU (V):;0,72
Voltaje Medio GPU (V):;0,00
Temperatura Media CPU (ºC):;95,9
Temperatura Media GPU (ºC):;0,0
Intensidad Carbono Media Grid (gCO2/kWh):;89,4
Energia Total CPU (Wh):;3,224968
Energia Total GPU (Wh):;0,000000
Energia Total Sistema (Wh):;3,224968
Emisiones Totales CPU (gCO2):;0,293472
Emisiones Totales GPU (gCO2):;0,000000
Emisiones Totales Sistema (gCO2):;0,293472

=== EVOLUCION TEMPORAL DETALLADA ===
Periodo;Fecha;Hora;PotenciaCPU(W);PotenciaGPU(W);PotenciaTotal(W);ConsumoPeriodoCPU(Wh);ConsumoPeriodoGPU(Wh);ConsumoPeriodoTotal(Wh);ConsumoAcumuladoCPU(Wh);ConsumoAcumuladoGPU(Wh);ConsumoAcumuladoTotal(Wh);TempCPU(C);TempGPU(C);VoltajeCPU(V);VoltajeGPU(V);Grid(gCO2/kWh);EmisionesPeriodoCPU(gCO2);EmisionesPeriodoGPU(gCO2);EmisionesPeriodoTotal(gCO2);EmisionesAcumuladasCPU(gCO2);EmisionesAcumuladasGPU(gCO2);EmisionesAcumuladasTotal(gCO2)
1;2026-06-01;17:56:14;10,68;0,00;10,68;0,014835;0,000000;0,014835;0,014835;0,000000;0,014835;85,0;0,0;0,79;0,00;86,0;0,001276;0,000000;0,001276;0,001276;0,000000;0,001276
2;2026-06-01;17:56:19;12,12;0,00;12,12;0,016828;0,000000;0,016828;0,031663;0,000000;0,031663;89,0;0,0;0,78;0,00;86,0;0,001447;0,000000;0,001447;0,002723;0,000000;0,002723
3;2026-06-01;17:56:24;13,83;0,00;13,83;0,019209;0,000000;0,019209;0,050872;0,000000;0,050872;90,0;0,0;0,78;0,00;86,0;0,001652;0,000000;0,001652;0,004375;0,000000;0,004375
4;2026-06-01;17:56:29;14,89;0,00;14,89;0,020674;0,000000;0,020674;0,071546;0,000000;0,071546;92,0;0,0;0,78;0,00;86,0;0,001778;0,000000;0,001778;0,006153;0,000000;0,006153
5;2026-06-01;17:56:35;14,52;0,00;14,52;0,020168;0,000000;0,020168;0,091714;0,000000;0,091714;93,0;0,0;0,78;0,00;86,0;0,001734;0,000000;0,001734;0,007887;0,000000;0,007887
6;2026-06-01;17:56:40;14,73;0,00;14,73;0,020463;0,000000;0,020463;0,112177;0,000000;0,112177;95,0;0,0;0,78;0,00;86,0;0,001760;0,000000;0,001760;0,009647;0,000000;0,009647
7;2026-06-01;17:56:45;14,84;0,00;14,84;0,020616;0,000000;0,020616;0,132793;0,000000;0,132793;96,0;0,0;0,78;0,00;86,0;0,001773;0,000000;0,001773;0,011420;0,000000;0,011420
8;2026-06-01;17:56:51;14,97;0,00;14,97;0,020787;0,000000;0,020787;0,153580;0,000000;0,153580;95,0;0,0;0,76;0,00;86,0;0,001788;0,000000;0,001788;0,013208;0,000000;0,013208
9;2026-06-01;17:56:56;13,99;0,00;13,99;0,019437;0,000000;0,019437;0,173017;0,000000;0,173017;95,0;0,0;0,76;0,00;86,0;0,001672;0,000000;0,001672;0,014879;0,000000;0,014879
10;2026-06-01;17:57:01;14,03;0,00;14,03;0,019484;0,000000;0,019484;0,192501;0,000000;0,192501;96,0;0,0;0,78;0,00;86,0;0,001676;0,000000;0,001676;0,016555;0,000000;0,016555
11;2026-06-01;17:57:06;13,57;0,00;13,57;0,018851;0,000000;0,018851;0,211352;0,000000;0,211352;96,0;0,0;0,74;0,00;86,0;0,001621;0,000000;0,001621;0,018176;0,000000;0,018176
12;2026-06-01;17:57:11;14,04;0,00;14,04;0,019494;0,000000;0,019494;0,230846;0,000000;0,230846;96,0;0,0;0,78;0,00;86,0;0,001676;0,000000;0,001676;0,019853;0,000000;0,019853
13;2026-06-01;17:57:17;13,05;0,00;13,05;0,018132;0,000000;0,018132;0,248978;0,000000;0,248978;96,0;0,0;0,66;0,00;86,0;0,001559;0,000000;0,001559;0,021412;0,000000;0,021412
14;2026-06-01;17:57:22;13,18;0,00;13,18;0,018302;0,000000;0,018302;0,267279;0,000000;0,267279;97,0;0,0;0,78;0,00;86,0;0,001574;0,000000;0,001574;0,022986;0,000000;0,022986
