=== METADATOS DE LA SESION ===
Fecha de Inicio:;2026-06-01
Hora de Inicio:;16:49:37
Fecha de Fin:;2026-06-01
Hora de Fin:;17:05:47
Duracion Total:;00:15:08
Ubicacion Seleccionada:;Sistema (España)
Pico Máximo Potencia CPU (W):;12,70
Pico Máximo Potencia GPU (W):;0,00
Pico Máximo Temperatura CPU (ºC):;92,0
Pico Máximo Temperatura GPU (ºC):;0,0
Pico Máximo Potencia Sistema (W):;12,70
Potencia Media CPU (W):;12,13
Potencia Media GPU (W):;0,00
Potencia Media Sistema (W):;12,13
Voltaje Medio CPU (V):;0,78
Voltaje Medio GPU (V):;0,00
Temperatura Media CPU (ºC):;89,1
Temperatura Media GPU (ºC):;0,0
Intensidad Carbono Media Grid (gCO2/kWh):;80,0
Energia Total CPU (Wh):;3,065714
Energia Total GPU (Wh):;0,000000
Energia Total Sistema (Wh):;3,065714
Emisiones Totales CPU (gCO2):;0,251389
Emisiones Totales GPU (gCO2):;0,000000
Emisiones Totales Sistema (gCO2):;0,251389

=== EVOLUCION TEMPORAL DETALLADA ===
Periodo;Fecha;Hora;PotenciaCPU(W);PotenciaGPU(W);PotenciaTotal(W);ConsumoPeriodoCPU(Wh);ConsumoPeriodoGPU(Wh);ConsumoPeriodoTotal(Wh);ConsumoAcumuladoCPU(Wh);ConsumoAcumuladoGPU(Wh);ConsumoAcumuladoTotal(Wh);TempCPU(C);TempGPU(C);VoltajeCPU(V);VoltajeGPU(V);Grid(gCO2/kWh);EmisionesPeriodoCPU(gCO2);EmisionesPeriodoGPU(gCO2);EmisionesPeriodoTotal(gCO2);EmisionesAcumuladasCPU(gCO2);EmisionesAcumuladasGPU(gCO2);EmisionesAcumuladasTotal(gCO2)
1;2026-06-01;16:49:39;11,88;0,00;11,88;0,016500;0,000000;0,016500;0,016500;0,000000;0,016500;87,0;0,0;0,78;0,00;79,0;0,001303;0,000000;0,001303;0,001303;0,000000;0,001303
2;2026-06-01;16:49:44;12,42;0,00;12,42;0,017244;0,000000;0,017244;0,033744;0,000000;0,033744;87,0;0,0;0,78;0,00;79,0;0,001362;0,000000;0,001362;0,002666;0,000000;0,002666
3;2026-06-01;16:49:50;12,12;0,00;12,12;0,016836;0,000000;0,016836;0,050580;0,000000;0,050580;87,0;0,0;0,78;0,00;79,0;0,001330;0,000000;0,001330;0,003996;0,000000;0,003996
4;2026-06-01;16:49:55;12,12;0,00;12,12;0,016828;0,000000;0,016828;0,067408;0,000000;0,067408;87,0;0,0;0,79;0,00;79,0;0,001329;0,000000;0,001329;0,005325;0,000000;0,005325
5;2026-06-01;16:50:00;12,08;0,00;12,08;0,016772;0,000000;0,016772;0,084179;0,000000;0,084179;87,0;0,0;0,78;0,00;79,0;0,001325;0,000000;0,001325;0,006650;0,000000;0,006650
6;2026-06-01;16:50:06;12,08;0,00;12,08;0,016783;0,000000;0,016783;0,100962;0,000000;0,100962;87,0;0,0;0,78;0,00;79,0;0,001326;0,000000;0,001326;0,007976;0,000000;0,007976
7;2026-06-01;16:50:12;12,05;0,00;12,05;0,016734;0,000000;0,016734;0,117697;0,000000;0,117697;87,0;0,0;0,78;0,00;79,0;0,001322;0,000000;0,001322;0,009298;0,000000;0,009298
8;2026-06-01;16:50:17;12,12;0,00;12,12;0,016839;0,000000;0,016839;0,134535;0,000000;0,134535;87,0;0,0;0,78;0,00;79,0;0,001330;0,000000;0,001330;0,010628;0,000000;0,010628
9;2026-06-01;16:50:22;12,12;0,00;12,12;0,016832;0,000000;0,016832;0,151367;0,000000;0,151367;87,0;0,0;0,79;0,00;79,0;0,001330;0,000000;0,001330;0,011958;0,000000;0,011958
10;2026-06-01;16:50:27;12,03;0,00;12,03;0,016704;0,000000;0,016704;0,168071;0,000000;0,168071;87,0;0,0;0,79;0,00;79,0;0,001320;0,000000;0,001320;0,013278;0,000000;0,013278
11;2026-06-01;16:50:33;11,85;0,00;11,85;0,016464;0,000000;0,016464;0,184534;0,000000;0,184534;87,0;0,0;0,78;0,00;79,0;0,001301;0,000000;0,001301;0,014578;0,000000;0,014578
12;2026-06-01;16:50:38;12,02;0,00;12,02;0,016698;0,000000;0,016698;0,201233;0,000000;0,201233;87,0;0,0;0,78;0,00;79,0;0,001319;0,000000;0,001319;0,015897;0,000000;0,015897
13;2026-06-01;16:50:44;12,06;0,00;12,06;0,016756;0,000000;0,016756;0,217988;0,000000;0,217988;88,0;0,0;0,78;0,00;79,0;0,001324;0,000000;0,001324;0,017221;0,000000;0,017221
14;2026-06-01;16:50:49;12,03;0,00;12,03;0,016708;0,000000;0,016708;0,234696;0,000000;0,234696;87,0;0,0;0,78;0,00;79,0;0,001320;0,000000;0,001320;0,018541;0,000000;0,018541
15;2026-06-01;16:50:55;12,02;0,00;12,02;0,016699;0,000000;0,016699;0,251395;0,000000;0,251395;87,0;0,0;0,78;0,00;79,0;0,001319;0,000000;0,001319;0,019860;0,000000;0,019860
16;2026-06-01;16:51:00;12,05;0,00;12,05;0,016730;0,000000;0,016730;0,268126;0,000000;0,268126;88,0;0,0;0,78;0,00;79,0;0,001322;0,000000;0,001322;0,021182;0,000000;0,021182
17;2026-06-01;16:51:05;12,02;0,00;12,02;0,016694;0,000000;0,016694;0,284819;0,000000;0,284819;87,0;0,0;0,78;0,00;79,0;0,001319;0,000000;0,001319;0,022501;0,000000;0,022501
18;2026-06-01;16:51:11;12,04;0,00;12,04;0,016716;0,000000;0,016716;0,301535;0,000000;0,301535;87,0;0,0;0,78;0,00;79,0;0,001321;0,000000;0,001321;0,023821;0,000000;0,023821
19;2026-06-01;16:51:16;11,89;0,00;11,89;0,016520;0,000000;0,016520;0,318055;0,000000;0,318055;87,0;0,0;0,78;0,00;79,0;0,001305;0,000000;0,001305;0,025126;0,000000;0,025126
20;2026-06-01;16:51:21;12,06;0,00;12,06;0,016756;0,000000;0,016756;0,334811;0,000000;0,334811;87,0;0,0;0,78;0,00;79,0;0,001324;0,000000;0,001324;0,026450;0,000000;0,026450
21;2026-06-01;16:51:27;12,06;0,00;12,06;0,016745;0,000000;0,016745;0,351555;0,000000;0,351555;89,0;0,0;0,78;0,00;79,0;0,001323;0,000000;0,001323;0,027773;0,000000;0,027773
22;2026-06-01;16:51:32;12,08;0,00;12,08;0,016776;0,000000;0,016776;0,368331;0,000000;0,368331;87,0;0,0;0,78;0,00;79,0;0,001325;0,000000;0,001325;0,029098;0,000000;0,029098
23;2026-06-01;16:51:37;12,08;0,00;12,08;0,016781;0,000000;0,016781;0,385112;0,000000;0,385112;87,0;0,0;0,78;0,00;79,0;0,001326;0,000000;0,001326;0,030424;0,000000;0,030424
24;2026-06-01;16:51:43;12,11;0,00;12,11;0,016826;0,000000;0,016826;0,401938;0,000000;0,401938;87,0;0,0;0,78;0,00;79,0;0,001329;0,000000;0,001329;0,031753;0,000000;0,031753
25;2026-06-01;16:51:48;12,09;0,00;12,09;0,016788;0,000000;0,016788;0,418725;0,000000;0,418725;87,0;0,0;0,78;0,00;79,0;0,001326;0,000000;0,001326;0,033079;0,000000;0,033079
26;2026-06-01;16:51:54;12,08;0,00;12,08;0,016781;0,000000;0,016781;0,435506;0,000000;0,435506;87,0;0,0;0,78;0,00;79,0;0,001326;0,000000;0,001326;0,034405;0,000000;0,034405
27;2026-06-01;16:51:59;11,94;0,00;11,94;0,016577;0,000000;0,016577;0,452083;0,000000;0,452083;87,0;0,0;0,78;0,00;79,0;0,001310;0,000000;0,001310;0,035715;0,000000;0,035715
28;2026-06-01;16:52:04;12,08;0,00;12,08;0,016783;0,000000;0,016783;0,468865;0,000000;0,468865;87,0;0,0;0,78;0,00;79,0;0,001326;0,000000;0,001326;0,037040;0,000000;0,037040
29;2026-06-01;16:52:09;12,15;0,00;12,15;0,016874;0,000000;0,016874;0,485739;0,000000;0,485739;87,0;0,0;0,78;0,00;79,0;0,001333;0,000000;0,001333;0,038373;0,000000;0,038373
30;2026-06-01;16:52:15;12,07;0,00;12,07;0,016757;0,000000;0,016757;0,502496;0,000000;0,502496;87,0;0,0;0,78;0,00;79,0;0,001324;0,000000;0,001324;0,039697;0,000000;0,039697
